iter	Passed	Remaining
0	250	125106
1	329	82044
2	399	66265
3	474	58807
4	539	53368
5	598	49268
6	657	46305
7	719	44239
8	781	42622
9	843	41344
10	910	40478
11	972	39533
12	1032	38696
13	1093	37944
14	1154	37321
15	1214	36728
16	1274	36223
17	1339	35879
18	1400	35459
19	1462	35110
20	1524	34784
21	1582	34385
22	1641	34042
23	1702	33764
24	1763	33512
25	1822	33224
26	1881	32958
27	1942	32747
28	2001	32506
29	2062	32307
30	2123	32123
31	2185	31960
32	2246	31786
33	2308	31639
34	2363	31401
35	2422	31225
36	2480	31038
37	2537	30852
38	2594	30666
39	2653	30511
40	2713	30374
41	2769	30199
42	2829	30074
43	2889	29944
44	2948	29807
45	3007	29681
46	3067	29566
47	3136	29539
48	3205	29502
49	3273	29465
50	3341	29416
51	3408	29363
52	3468	29250
53	3530	29156
54	3586	29021
55	3644	28898
56	3704	28788
57	3764	28691
58	3824	28586
59	3884	28484
60	3940	28362
61	3998	28248
62	4068	28221
63	4127	28120
64	4186	28016
65	4245	27917
66	4303	27809
67	4359	27696
68	4418	27599
69	4473	27479
70	4534	27397
71	4593	27307
72	4651	27208
73	4711	27123
74	4769	27025
75	4827	26930
76	4884	26832
77	4943	26746
78	5005	26672
79	5062	26576
80	5121	26490
81	5184	26430
82	5244	26350
83	5303	26264
84	5359	26168
85	5419	26090
86	5478	26007
87	5540	25939
88	5598	25853
89	5660	25786
90	5718	25704
91	5794	25697
92	5853	25618
93	5913	25540
94	5971	25457
95	6028	25370
96	6088	25296
97	6145	25210
98	6204	25132
99	6261	25045
100	6318	24962
101	6377	24883
102	6434	24801
103	6505	24771
104	6568	24711
105	6627	24632
106	6686	24557
107	6776	24597
108	6837	24526
109	6895	24449
110	6954	24372
111	7014	24301
112	7085	24265
113	7142	24183
114	7201	24109
115	7261	24038
116	7323	23973
117	7381	23897
118	7439	23818
119	7495	23735
120	7554	23663
121	7610	23579
122	7669	23508
123	7726	23429
124	7785	23357
125	7845	23288
126	7908	23226
127	7966	23151
128	8021	23069
129	8080	22997
130	8136	22920
131	8192	22839
132	8251	22768
133	8317	22716
134	8375	22644
135	8434	22574
136	8490	22496
137	8549	22426
138	8607	22353
139	8665	22282
140	8724	22213
141	8793	22169
142	8855	22107
143	8909	22026
144	8968	21957
145	9025	21882
146	9082	21809
147	9141	21742
148	9199	21672
149	9256	21599
150	9314	21528
151	9373	21460
152	9444	21420
153	9503	21351
154	9560	21279
155	9621	21216
156	9681	21150
157	9741	21085
158	9799	21015
159	9857	20947
160	9915	20877
161	9976	20815
162	10043	20765
163	10100	20694
164	10162	20632
165	10219	20563
166	10278	20496
167	10337	20429
168	10400	20370
169	10467	20319
170	10527	20254
171	10585	20186
172	10646	20122
173	10704	20055
174	10763	19990
175	10822	19922
176	10881	19856
177	10940	19790
178	11003	19732
179	11067	19674
180	11125	19608
181	11185	19544
182	11246	19481
183	11303	19413
184	11362	19347
185	11421	19281
186	11479	19214
187	11537	19147
188	11597	19082
189	11656	19018
190	11715	18953
191	11777	18892
192	11841	18835
193	11902	18773
194	11961	18709
195	12022	18646
196	12081	18582
197	12138	18513
198	12199	18452
199	12258	18387
200	12315	18320
201	12374	18255
202	12434	18192
203	12494	18129
204	12558	18072
205	12618	18009
206	12679	17947
207	12741	17886
208	12801	17824
209	12861	17761
210	12922	17699
211	12983	17637
212	13045	17577
213	13114	17526
214	13172	17461
215	13233	17399
216	13293	17336
217	13353	17273
218	13411	17208
219	13469	17142
220	13531	17082
221	13604	17036
222	13671	16982
223	13728	16915
224	13785	16848
225	13844	16785
226	13902	16719
227	13961	16655
228	14019	16590
229	14077	16525
230	14139	16465
231	14198	16401
232	14262	16343
233	14324	16283
234	14383	16220
235	14444	16158
236	14504	16095
237	14564	16033
238	14624	15970
239	14686	15910
240	14747	15848
241	14806	15785
242	14865	15722
243	14920	15654
244	14992	15604
245	15051	15541
246	15112	15480
247	15174	15418
248	15235	15357
249	15295	15295
250	15353	15231
251	15415	15171
252	15472	15105
253	15537	15048
254	15595	14984
255	15657	14923
256	15717	14861
257	15780	14801
258	15844	14743
259	15908	14684
260	15967	14621
261	16031	14563
262	16088	14498
263	16147	14435
264	16204	14369
265	16262	14305
266	16320	14242
267	16382	14182
268	16444	14121
269	16503	14058
270	16562	13995
271	16622	13933
272	16679	13869
273	16740	13807
274	16801	13746
275	16858	13682
276	16916	13618
277	16975	13556
278	17035	13493
279	17093	13430
280	17153	13368
281	17211	13305
282	17271	13243
283	17332	13182
284	17391	13120
285	17453	13059
286	17511	12996
287	17571	12934
288	17628	12870
289	17687	12808
290	17746	12745
291	17805	12683
292	17863	12619
293	17922	12557
294	17978	12493
295	18036	12430
296	18093	12367
297	18151	12304
298	18211	12242
299	18279	12186
300	18338	12124
301	18394	12059
302	18452	11997
303	18511	11934
304	18571	11873
305	18629	11811
306	18694	11752
307	18752	11689
308	18809	11626
309	18867	11563
310	18923	11500
311	18987	11441
312	19043	11377
313	19104	11316
314	19162	11254
315	19221	11192
316	19280	11130
317	19340	11068
318	19401	11008
319	19458	10945
320	19516	10883
321	19574	10820
322	19633	10758
323	19698	10700
324	19758	10639
325	19820	10579
326	19879	10517
327	19951	10462
328	20011	10401
329	20070	10339
330	20130	10277
331	20188	10215
332	20245	10153
333	20303	10090
334	20371	10033
335	20431	9972
336	20495	9913
337	20560	9854
338	20623	9794
339	20681	9732
340	20743	9672
341	20802	9610
342	20864	9550
343	20924	9488
344	20985	9428
345	21048	9368
346	21107	9306
347	21176	9249
348	21236	9188
349	21296	9127
350	21355	9065
351	21416	9004
352	21475	8942
353	21534	8881
354	21595	8820
355	21652	8758
356	21711	8696
357	21771	8635
358	21830	8574
359	21888	8512
360	21946	8450
361	22008	8390
362	22066	8328
363	22125	8266
364	22183	8205
365	22242	8143
366	22306	8083
367	22368	8023
368	22431	7963
369	22492	7902
370	22550	7841
371	22610	7780
372	22675	7720
373	22732	7658
374	22794	7598
375	22854	7537
376	22912	7475
377	22972	7414
378	23031	7353
379	23090	7291
380	23148	7229
381	23208	7169
382	23273	7109
383	23331	7047
384	23391	6986
385	23467	6930
386	23524	6868
387	23583	6807
388	23643	6746
389	23702	6685
390	23760	6623
391	23819	6562
392	23877	6501
393	23938	6440
394	23995	6378
395	24058	6318
396	24119	6257
397	24187	6198
398	24247	6137
399	24308	6077
400	24366	6015
401	24424	5954
402	24490	5894
403	24551	5833
404	24611	5773
405	24671	5712
406	24730	5650
407	24793	5590
408	24858	5530
409	24916	5469
410	24973	5407
411	25032	5346
412	25090	5285
413	25149	5224
414	25212	5164
415	25281	5105
416	25340	5043
417	25403	4983
418	25462	4922
419	25522	4861
420	25581	4800
421	25643	4739
422	25703	4678
423	25761	4617
424	25818	4556
425	25879	4495
426	25938	4434
427	25997	4373
428	26056	4312
429	26117	4251
430	26176	4190
431	26236	4129
432	26295	4068
433	26354	4007
434	26412	3946
435	26471	3885
436	26533	3825
437	26600	3765
438	26659	3704
439	26722	3643
440	26782	3583
441	26840	3522
442	26901	3461
443	26961	3400
444	27020	3339
445	27084	3279
446	27143	3218
447	27203	3157
448	27262	3096
449	27329	3036
450	27386	2975
451	27444	2914
452	27507	2853
453	27566	2793
454	27623	2731
455	27684	2671
456	27743	2610
457	27802	2549
458	27862	2488
459	27921	2427
460	27980	2367
461	28040	2306
462	28099	2245
463	28159	2184
464	28219	2124
465	28280	2063
466	28337	2002
467	28394	1941
468	28451	1880
469	28510	1819
470	28570	1759
471	28632	1698
472	28693	1637
473	28751	1577
474	28809	1516
475	28866	1455
476	28923	1394
477	28981	1333
478	29038	1273
479	29097	1212
480	29155	1151
481	29221	1091
482	29279	1030
483	29337	969
484	29399	909
485	29457	848
486	29515	787
487	29575	727
488	29634	666
489	29692	605
490	29752	545
491	29812	484
492	29867	424
493	29926	363
494	29986	302
495	30044	242
496	30102	181
497	30159	121
498	30219	60
499	30279	0
